Input Machining Parameters Response Variables							Response variables 
S. No. Pulse on  Pulse off   Servo 		Peak		Wire		Kerf Width		Average Surface		MRR	
	Time (µs)	Time (µs)  Voltage (V)	current (A) Tension (kg) (mm)			Roughness (µm)		(mm3/min)


1 	120 		40 		60 		120 		1.1 		0.402 		3.71 				10.53
2 	100 		40 		40 		180 		1.1 		0.382 		1.71 				05.28
3 	100 		60 		40 		120 		1.1 		0.350 		1.52 				02.39
4 	120 		60 		60 		120 		1.1 		0.385 		3.77 				09.04
5 	110 		40 		50 		150 		1.3 		0.399 		1.51 				08.34
6 	120 		60 		60 		120 		1.5 		0.404 		3.58 				08.18
7 	120 		50 		50 		150 		1.3 		0.416 		3.51 				08.19
8 	100 		40 		40 		120 		1.1 		0.356 		1.75 				04.64
9 	120 		60 		40 		180 		1.5 		0.404 		3.81 				05.85
10	110		50 		50 		150 		1.5 		0.395 		2.86 				07.91
11 	100 		40 		60 		120 		1.5 		0.369		 	1.27				06.53
12 	120 		60 		40 		120 		1.5 		0.411 		3.38 				05.58
13 	120 		60 		40 		120 		1.1 		0.391 		3.55 				05.38
14 	120 		40 		60 		180		1.1 		0.433 		3.09 				10.22
15 	100 		60 		60 		180 		1.1 		0.361 		1.74 				05.14
16 	110 		50 		50 		120 		1.3 		0.386 		2.27 				06.68
17 	100 		50 		50		150 		1.3 		0.365 		1.61 				04.19
18 	120 		40 		60 		120 		1.5 		0.433 		2.87 				10.36
19 	120 		40 		40 		120 		1.1 		0.397 		3.35 				07.38
20 	110 		50 		50 		150 		1.3 		0.392 		2.60 				07.96
21 	110 		50 		50 		150 		1.3 		0.378 		2.52 				07.54
22 	100 		60 		60 		120 		1.1 		0.350 		1.70 				04.91
23 	100 		60 		60 		120 		1.5		0.337 		1.51 				04.78
24 	120 		40 		40 		180 		1.5 		0.411 		3.51 				07.78
25 	100 		40 		40 		120		1.5 		0.366 		1.55 				04.94
26 	100 		40 		60 		120 		1.1 		0.349 		1.48 				06.36
27 	120 		40 		60 		180 		1.5 		0.426 		3.30 				10.80
28 	120 		60 		60 		180 		1.5 		0.407 		4.00 				08.85
29 	100 		60 		40		180 		1.1 		0.368 		1.54 				03.47
30 	100 		60 		40 		120 		1.5 		0.360 		1.32 				02.69
31 	110 		50 		50 		150 		1.3 		0.392 		2.59 				07.35
32 	120 		60 		60 		180 		1.1 		0.414 		3.80 				08.95
33 	110 		50 		50 		180 		1.3 		0.402 		2.49 				07.33
34 	100 		40 		60 		180 		1.1 		0.381 		1.53 				05.19
35 	100 		60 		60 		180 		1.5		 0.359 		1.91				05.64
36 	110 		50 		50 		150 		1.3 		0.391 		2.59 				07.44
37 	110 		50 		50 		150 		1.3 		0.385 		2.91				07.96
38 	110 		60 		50 		150 		1.3 		0.387 		2.28 				06.41
39 	110 		50 		50 		150 		1.3 		0.392 		2.64 				07.41
40 	100 		40 		60 		180 		1.5 		0.366 		1.91 				06.79
41 	100 		40 		40 		180 		1.5 		0.370 		1.20				 05.38
42 	120 		40 		40 		120 		1.5 		0.407 		3.14 				07.33
43 	110 		50 		50 		150 		1.3 		0.402 		2.59 				07.16
44 	110 		50 		60 		150 		1.3 		0.394 		3.00 				08.92
45 	120 		40 		40 		180 		1.1 		0.419 		3.36 				07.18
46 	110 		50 		50 		150 		1.3 		0.392 		2.56 				07.40
47 	120 		60 		40 		180 		1.1 		0.410 		3.69 				04.82
48 	110 		50 		50 		150 		1.1 		0.392 		2.15 				08.77
49 	100 		60 		40 		180 		1.5 		0.378 		1.71 				03.83
50 	110 		50 		40 		150 		1.3 		0.420 		3.51 				08.268
